symbol,Period Start,Period End,Return,Earnings Per Share
DUK,2012-12-31,2013-12-31,0.000244162673199,3.77
DUK,2013-12-31,2014-12-31,0.0008968464917,2.66
DUK,2014-12-31,2015-12-31,-0.000597716946079,4.05
DVA,2012-12-31,2013-12-31,0.00063739176267,3.02
DVA,2013-12-31,2014-12-31,0.000671380984798,3.41
DVA,2014-12-31,2015-12-31,-0.000320265403534,1.27
DVN,2013-12-31,2014-12-31,3.24409303726e-06,3.93
DVN,2014-12-31,2015-12-31,-0.00188518098487,-35.55
EA,2013-03-31,2014-03-31,0.00244609330887,0.03
EA,2014-03-31,2015-03-31,0.00395209575462,2.81
EA,2015-03-31,2016-03-31,0.000611726450557,3.73
EBAY,2013-12-31,2014-12-31,0.000160378168726,0.04
EBAY,2014-12-31,2015-12-31,0.000641195372912,1.43
ECL,2012-12-31,2013-12-31,0.00159840576848,3.23
ECL,2013-12-31,2014-12-31,2.79102947866e-05,4.01
ECL,2014-12-31,2015-12-31,0.000383091882449,3.38
ED,2013-12-31,2014-12-31,0.000886165179918,3.73
ED,2014-12-31,2015-12-31,-0.000123820956306,4.07
EFX,2012-12-31,2013-12-31,0.00104027070797,2.9
EFX,2013-12-31,2014-12-31,0.000720025423745,3.03
EFX,2014-12-31,2015-12-31,0.00146638027116,3.61
EIX,2012-12-31,2013-12-31,2.50119032617e-05,2.81
EIX,2013-12-31,2014-12-31,0.00175134281242,4.95
EIX,2014-12-31,2015-12-31,-0.000381621296619,3.13
EL,2013-06-30,2014-06-30,0.000433935138628,3.12
EL,2014-06-30,2015-06-30,0.000664494123672,2.87
EL,2015-06-30,2016-06-30,0.000151033455787,3.01
EMN,2012-12-31,2013-12-31,0.000620999226395,7.57
EMN,2013-12-31,2014-12-31,-0.000218481250893,5.03
EMN,2014-12-31,2015-12-31,-0.000465418941779,5.71
EMR,2013-09-30,2014-09-30,-0.00015185099807,3.05
EMR,2014-09-30,2015-09-30,-0.00111356725601,4.01
EMR,2015-09-30,2016-09-30,0.0010837688989,2.53
EOG,2012-12-31,2013-12-31,0.00141686674778,8.13
EOG,2013-12-31,2014-12-31,0.000459780621506,5.36
EOG,2014-12-31,2015-12-31,-0.000922799626625,-8.29
EQIX,2012-12-31,2013-12-31,-0.000693212476523,1.92
EQIX,2013-12-31,2014-12-31,0.0011800764969,-4.96
EQIX,2014-12-31,2015-12-31,0.0013262530159,3.25
EQR,2012-12-31,2013-12-31,-0.000357776217227,5.155
EQR,2013-12-31,2014-12-31,0.00151509548817,1.736
EQR,2014-12-31,2015-12-31,0.000442177958665,2.37
EQT,2013-12-31,2014-12-31,-0.000582738321511,2.55
EQT,2014-12-31,2015-12-31,-0.00129971563829,0.56
ES,2012-12-31,2013-12-31,0.000256112725519,2.49
ES,2013-12-31,2014-12-31,0.0011223727645,2.59
ES,2014-12-31,2015-12-31,-0.000197157529539,2.77
ESS,2012-12-31,2013-12-31,-0.000126877191574,4.06
ESS,2014-12-31,2015-12-31,0.000548217014935,3.5
ETFC,2012-12-31,2013-12-31,0.00451232317737,0.3
ETFC,2013-12-31,2014-12-31,0.000891405099363,1.02
ETFC,2014-12-31,2015-12-31,0.000930498370388,0.92
ETN,2012-12-31,2013-12-31,0.00138273803559,3.93
ETN,2013-12-31,2014-12-31,-0.00039582658901,3.78
ETN,2014-12-31,2015-12-31,-0.000928243067677,4.25
ETR,2012-12-31,2013-12-31,-9.07029478458e-05,3.99
ETR,2013-12-31,2014-12-31,0.00164531118452,5.24
ETR,2014-12-31,2015-12-31,-0.000875449860046,-0.99
EW,2012-12-31,2013-12-31,-0.00113612468975,3.51
EW,2013-12-31,2014-12-31,0.00369977081796,7.62
EW,2014-12-31,2015-12-31,0.000939555425162,2.3
EXPD,2012-12-31,2013-12-31,0.000325027926824,1.69
EXPD,2013-12-31,2014-12-31,0.000102194533727,1.92
EXPD,2014-12-31,2015-12-31,6.07476996828e-05,2.42
EXPE,2013-12-31,2014-12-31,0.000925983390403,3.09
EXPE,2014-12-31,2015-12-31,0.00178330816626,5.87
EXR,2012-12-31,2013-12-31,0.000568585997132,1.54
EXR,2013-12-31,2014-12-31,0.00160002560011,1.54
EXR,2014-12-31,2015-12-31,0.00197066161557,1.58
F,2013-12-31,2014-12-31,1.54206760424e-05,0.81
F,2014-12-31,2015-12-31,-0.000328104332011,1.86
FAST,2013-12-31,2014-12-31,7.30770522403e-05,1.67
FAST,2014-12-31,2015-12-31,-0.000550867467213,1.77
FB,2013-12-31,2014-12-31,0.00169073284142,1.12
FB,2014-12-31,2015-12-31,0.00132578672101,1.31
FBHS,2012-12-31,2013-12-31,0.00193311961839,1.39
FBHS,2013-12-31,2014-12-31,-1.39758009007e-05,0.98
FBHS,2014-12-31,2015-12-31,0.000948872406405,1.97
FCX,2012-12-31,2013-12-31,0.000289975238879,2.65
FCX,2013-12-31,2014-12-31,-0.00150483610476,-1.26
FCX,2014-12-31,2015-12-31,-0.00282748621854,-11.31
FDX,2013-05-31,2014-05-31,0.00189457149607,6.82
FDX,2014-05-31,2015-05-31,0.000800127075752,3.7
FDX,2015-05-31,2016-05-31,-0.000234399822228,6.59
FE,2012-12-31,2013-12-31,-0.000850745252841,0.94
FE,2014-12-31,2015-12-31,-0.000756195417217,1.37
FFIV,2013-09-30,2014-09-30,0.00132780608522,4.13
FFIV,2014-09-30,2015-09-30,-4.33836780351e-05,5.07
FFIV,2015-09-30,2016-09-30,0.000259179254247,5.43
FIS,2012-12-31,2013-12-31,0.00197858782448,1.7
FIS,2013-12-31,2014-12-31,0.000688829065588,2.38
FIS,2014-12-31,2015-12-31,-0.000115086486445,2.22
FISV,2012-12-31,2013-12-31,0.00179762683244,2.47
FISV,2013-12-31,2014-12-31,0.000870697634088,3.03
FISV,2014-12-31,2015-12-31,0.0011710336068,3.04
FL,2013-02-02,2014-02-01,0.000552362317422,2.89
FL,2014-02-01,2015-01-31,0.00178865273998,3.61
FL,2015-01-31,2016-01-30,0.00106211808185,3.89
FLIR,2012-12-31,2013-12-31,0.00112315479287,1.24
FLIR,2013-12-31,2014-12-31,0.000436221651054,1.42
FLIR,2014-12-31,2015-12-31,-0.000507896952123,1.73
FLR,2013-12-31,2014-12-31,-0.000917724832817,3.24
FLR,2014-12-31,2015-12-31,-0.000880744338386,2.85
FLS,2013-12-31,2014-12-31,-0.000896835680506,3.79
FLS,2014-12-31,2015-12-31,-0.00116885532078,2.01
FMC,2012-12-31,2013-12-31,0.0010712016116,2.16
FMC,2013-12-31,2014-12-31,-0.00093176499901,2.3
FMC,2014-12-31,2015-12-31,-0.00124264787697,3.66
FRT,2013-12-31,2014-12-31,0.00128053881553,2.42
